t,tau_R
0.0,0.9999908078846773
0.01,0.9999908078846773
0.02,0.9999908078846773
0.03,0.9999908078846773
0.04,0.9999908078846773
0.05,0.9999908078846773
0.06,0.9999908078846773
0.07,0.9999908078846773
0.08,0.9999908078846773
0.09,0.9999908078846773
0.1,0.9999908078846773
0.11,0.9999908078846773
0.12,0.9999908078846773
0.13,0.9999908078846773
0.14,0.9999908078846773
0.15,0.9999908078846773
0.16,0.9999908078846773
0.17,0.9999908078846773
0.18,0.9999908078846773
0.19,0.9999908078846773
0.2,0.9999908078846773
0.21,0.9999908078846773
0.22,0.9999908078846773
0.23,0.9999908078846773
0.24,0.9999908078846773
0.25,0.9999908078846773
0.26,0.9999908078846773
0.27,0.9999908078846773
0.28,0.9999908078846773
0.29,0.9999908078846773
0.3,0.9999908078846773
0.31,0.9999908078846773
0.32,0.9999908078846773
0.33,0.9999908078846773
0.34,0.9999908078846773
0.35000000000000003,0.9999908078846773
0.36,0.9999908078846773
0.37,0.9999908078846773
0.38,0.9999908078846773
0.39,0.9999908078846773
0.4,0.9999908078846773
0.41000000000000003,0.9999908078846773
0.42,0.9999908078846773
0.43,0.9999908078846773
0.44,0.9999908078846773
0.45,0.9999908078846773
0.46,0.9999908078846773
0.47000000000000003,0.9999908078846773
0.48,0.9999908078846773
0.49,0.9999908078846773
0.5,0.9999908078846773
0.51,0.9999908078846773
0.52,0.9999908078846773
0.53,0.9999908078846773
0.54,0.9999908078846773
0.55,0.9999908078846773
0.56,0.9999908078846773
0.5700000000000001,0.9999908078846773
0.58,0.9999908078846773
0.59,0.9999908078846773
0.6,0.9999908078846773
0.61,0.9999908078846773
0.62,0.9999908078846773
0.63,0.9999908078846773
0.64,0.9999908078846773
0.65,0.9999908078846773
0.66,0.9999908078846773
0.67,0.9999908078846773
0.68,0.9999908078846773
0.6900000000000001,0.9999908078846773
0.7000000000000001,0.9999908078846773
0.71,0.9999908078846773
0.72,0.9999908078846773
0.73,0.9999908078846773
0.74,0.9999908078846773
0.75,0.9999908078846773
0.76,0.9999908078846773
0.77,0.9999908078846773
0.78,0.9999908078846773
0.79,0.9999908078846773
0.8,0.9999908078846773
0.81,0.9999908078846773
0.8200000000000001,0.9999908078846773
0.8300000000000001,0.9999908078846773
0.84,0.9999908078846773
0.85,0.9999908078846773
0.86,0.9999908078846773
0.87,0.9999908078846773
0.88,0.9999908078846773
0.89,0.9999908078846773
0.9,0.9999908078846773
0.91,0.9999908078846773
0.92,0.9999908078846773
0.93,0.9999908078846773
0.9400000000000001,0.9999908078846773
0.9500000000000001,0.9999908078846773
0.96,0.9999908078846773
0.97,0.9999908078846773
0.98,0.9999908078846773
0.99,0.9999908078846773
1.0,0.9999908078846773
1.01,0.9999908078846773
1.02,0.9999908078846773
1.03,0.9999908078846773
1.04,0.9999908078846773
1.05,0.9999908078846773
1.06,0.9999908078846773
1.07,0.9999908078846773
1.08,0.9999908078846773
1.09,0.9999908078846773
1.1,0.9999908078846773
1.11,0.9999908078846773
1.12,0.9999908078846773
1.1300000000000001,0.9999908078846773
1.1400000000000001,0.9999908078846773
1.1500000000000001,0.9999908078846773
1.16,0.9999908078846773
1.17,0.9999908078846773
1.18,0.9999908078846773
1.19,0.9999908078846773
1.2,0.9999908078846773
1.21,0.9999908078846773
1.22,0.9999908078846773
1.23,0.9999908078846773
1.24,0.9999908078846773
1.25,0.9999908078846773
1.26,0.9999908078846773
1.27,0.9999908078846773
1.28,0.9999908078846773
1.29,0.9999908078846773
1.3,0.9999908078846773
1.31,0.9999908078846773
1.32,0.9999908078846773
1.33,0.9999908078846773
1.34,0.9999908078846773
1.35,0.9999908078846773
1.36,0.9999908078846773
1.37,0.9999908078846773
1.3800000000000001,0.9999908078846773
1.3900000000000001,0.9999908078846773
1.4000000000000001,0.9999908078846773
