t,channel,censored,rate
0.0,tau_R,0,0.0
0.01,tau_R,0,0.0
0.02,tau_R,0,0.0
0.03,tau_R,0,0.0
0.04,tau_R,0,0.0
0.05,tau_R,0,0.0
0.06,tau_R,0,0.0
0.07,tau_R,0,0.0
0.08,tau_R,0,0.0
0.09,tau_R,0,0.0
0.1,tau_R,0,0.0
0.11,tau_R,0,0.0
0.12,tau_R,0,0.0
0.13,tau_R,0,0.0
0.14,tau_R,0,0.0
0.15,tau_R,0,0.0
0.16,tau_R,0,0.0
0.17,tau_R,0,0.0
0.18,tau_R,0,0.0
0.19,tau_R,0,0.0
0.2,tau_R,0,0.0
0.21,tau_R,0,0.0
0.22,tau_R,0,0.0
0.23,tau_R,0,0.0
0.24,tau_R,0,0.0
0.25,tau_R,0,0.0
0.26,tau_R,0,0.0
0.27,tau_R,0,0.0
0.28,tau_R,0,0.0
0.29,tau_R,0,0.0
0.3,tau_R,0,0.0
0.31,tau_R,0,0.0
0.32,tau_R,0,0.0
0.33,tau_R,0,0.0
0.34,tau_R,0,0.0
0.35000000000000003,tau_R,0,0.0
0.36,tau_R,0,0.0
0.37,tau_R,0,0.0
0.38,tau_R,0,0.0
0.39,tau_R,0,0.0
0.4,tau_R,0,0.0
0.41000000000000003,tau_R,0,0.0
0.42,tau_R,0,0.0
0.43,tau_R,0,0.0
0.44,tau_R,0,0.0
0.45,tau_R,0,0.0
0.46,tau_R,0,0.0
0.47000000000000003,tau_R,0,0.0
0.48,tau_R,0,0.0
0.49,tau_R,0,0.0
0.5,tau_R,0,0.0
0.51,tau_R,0,0.0
0.52,tau_R,0,0.0
0.53,tau_R,0,0.0
0.54,tau_R,0,0.0
0.55,tau_R,0,0.0
0.56,tau_R,0,0.0
0.5700000000000001,tau_R,0,0.0
0.58,tau_R,0,0.0
0.59,tau_R,0,0.0
0.6,tau_R,0,0.0
0.61,tau_R,0,0.0
0.62,tau_R,0,0.0
0.63,tau_R,0,0.0
0.64,tau_R,0,0.0
0.65,tau_R,0,0.0
0.66,tau_R,0,0.0
0.67,tau_R,0,0.0
0.68,tau_R,0,0.0
0.6900000000000001,tau_R,0,0.0
0.7000000000000001,tau_R,0,0.0
0.71,tau_R,0,0.0
0.72,tau_R,0,0.0
0.73,tau_R,0,0.0
0.74,tau_R,0,0.0
0.75,tau_R,0,0.0
0.76,tau_R,0,0.0
0.77,tau_R,0,0.0
0.78,tau_R,0,0.0
0.79,tau_R,0,0.0
0.8,tau_R,0,0.0
0.81,tau_R,0,0.0
