t,tau_R
0.0,0.53
0.01,0.52
0.02,0.51
0.03,0.38
0.04,0.41000000000000003
0.05,0.38
0.06,0.39
0.07,0.39
0.08,0.38
0.09,0.38
0.1,0.38
0.11,0.39
0.12,0.38
0.13,0.38
0.14,0.45
0.15,0.44
0.16,0.43
0.17,0.42
0.18,0.41000000000000003
0.19,0.4
0.2,0.38
0.21,0.53
0.22,0.52
0.23,0.52
0.24,0.51
0.25,0.55
0.26,0.49
0.27,0.48
0.28,0.47000000000000003
0.29,0.45
0.3,0.44
0.31,0.43
0.32,0.43
0.33,0.41000000000000003
0.34,0.4
0.35000000000000003,0.38
0.36,0.38
0.37,0.39
0.38,0.54
0.39,0.53
0.4,0.49
0.41000000000000003,0.51
0.42,0.51
0.43,0.49
0.44,0.49
0.45,0.47000000000000003
0.46,0.47000000000000003
0.47000000000000003,0.46
0.48,0.45
0.49,0.43
0.5,0.42
0.51,0.38
0.52,0.38
0.53,0.53
0.54,0.52
0.55,0.51
0.56,0.5
0.5700000000000001,0.49
0.58,0.48
0.59,0.38
0.6,0.38
0.61,0.39
0.62,0.39
0.63,0.38
0.64,0.38
0.65,0.5
0.66,0.38
0.67,0.48
0.68,0.47000000000000003
0.6900000000000001,0.46
0.7000000000000001,0.45
0.71,0.44
0.72,0.43
0.73,0.4
0.74,0.39
0.75,0.38
0.76,0.38
0.77,0.53
0.78,0.52
0.79,0.51
0.8,0.52
0.81,0.49
0.8200000000000001,0.48
0.8300000000000001,0.49
0.84,0.46
0.85,0.45
0.86,0.44
0.87,0.43
0.88,0.42
0.89,0.4
0.9,0.39
0.91,0.38
0.92,0.38
0.93,0.54
0.9400000000000001,0.52
0.9500000000000001,0.52
0.96,0.51
0.97,0.5
0.98,0.49
0.99,0.48
1.0,0.52
1.01,0.46
1.02,0.45
1.03,0.44
1.04,0.43
1.05,0.38
1.06,0.38
1.07,0.38
1.08,0.38
1.09,0.54
1.1,0.53
1.11,0.52
1.12,0.51
1.1300000000000001,0.5
1.1400000000000001,0.49
1.1500000000000001,0.38
1.16,0.4
1.17,0.39
1.18,0.38
1.19,0.38
1.2,0.38
1.21,0.38
1.22,0.39
1.23,0.38
1.24,0.38
1.25,0.48
1.26,0.46
1.27,0.41000000000000003
1.28,0.44
1.29,0.39
1.3,0.38
1.31,0.38
1.32,0.38
1.33,0.38
1.34,0.53
1.35,0.52
1.36,0.51
1.37,0.5
1.3800000000000001,0.49
1.3900000000000001,0.48
1.4000000000000001,0.45
1.41,0.44
1.42,0.42
1.43,0.42
1.44,0.4
1.45,0.39
1.46,0.38
1.47,0.39
1.48,0.38
1.49,0.52
1.5,0.51
1.51,0.5
1.52,0.54
1.53,0.54
1.54,0.53
1.55,0.53
1.56,0.5
1.57,0.5
1.58,0.48
1.59,0.43
1.6,0.48
1.61,0.41000000000000003
1.62,0.4
1.6300000000000001,0.55
1.6400000000000001,0.4
1.6500000000000001,0.53
1.6600000000000001,0.38
1.67,0.53
1.68,0.49
1.69,0.49
1.7,0.48
1.71,0.44
1.72,0.4
1.73,0.38
1.74,0.38
1.75,0.39
1.76,0.38
1.77,0.39
1.78,0.38
1.79,0.38
1.8,0.47000000000000003
1.81,0.46
1.82,0.45
1.83,0.44
1.84,0.39
1.85,0.38
1.86,0.4
1.87,0.38
1.8800000000000001,0.38
1.8900000000000001,0.54
1.9000000000000001,0.53
1.9100000000000001,0.49
1.92,0.48
1.93,0.5
1.94,0.5
1.95,0.45
1.96,0.44
1.97,0.43
1.98,0.42
1.99,0.41000000000000003
2.0,0.4
2.0100000000000002,0.38
2.02,0.38
2.0300000000000002,0.38
2.04,0.38
2.05,0.38
2.06,0.5
2.07,0.5
2.08,0.53
2.09,0.52
2.1,0.51
2.11,0.5
2.12,0.44
2.13,0.51
2.14,0.43
2.15,0.41000000000000003
2.16,0.45
2.17,0.39
2.18,0.38
2.19,0.38
2.2,0.55
2.21,0.54
2.22,0.53
2.23,0.5
2.24,0.49
2.25,0.48
2.2600000000000002,0.46
2.27,0.38
2.2800000000000002,0.41000000000000003
2.29,0.38
2.3000000000000003,0.39
2.31,0.54
2.32,0.38
2.33,0.52
2.34,0.49
2.35,0.5
2.36,0.47000000000000003
2.37,0.46
2.38,0.43
2.39,0.42
2.4,0.4
2.41,0.4
2.42,0.38
2.43,0.52
2.44,0.53
2.45,0.52
2.46,0.51
2.47,0.52
2.48,0.49
2.49,0.47000000000000003
2.5,0.48
2.5100000000000002,0.47000000000000003
2.52,0.46
2.5300000000000002,0.42
2.54,0.43
2.5500000000000003,0.4
2.56,0.39
2.57,0.38
2.58,0.38
2.59,0.38
2.6,0.38
2.61,0.52
2.62,0.49
2.63,0.5
2.64,0.54
2.65,0.48
2.66,0.5
2.67,0.51
2.68,0.5
2.69,0.44
2.7,0.46
2.71,0.42
2.72,0.39
2.73,0.38
2.74,0.38
2.75,0.55
2.7600000000000002,0.38
2.77,0.54
2.7800000000000002,0.52
2.79,0.52
2.8000000000000003,0.49
2.81,0.38
2.82,0.41000000000000003
2.83,0.39
2.84,0.39
2.85,0.39
2.86,0.38
2.87,0.38
2.88,0.54
2.89,0.53
2.9,0.5
2.91,0.48
2.92,0.48
2.93,0.42
2.94,0.44
2.95,0.4
2.96,0.39
2.97,0.38
2.98,0.38
2.99,0.52
3.0,0.51
3.0100000000000002,0.54
3.02,0.51
3.0300000000000002,0.5
3.04,0.51
3.0500000000000003,0.48
3.06,0.47000000000000003
3.0700000000000003,0.48
3.08,0.44
3.09,0.42
3.1,0.41000000000000003
3.11,0.39
3.12,0.38
3.13,0.38
3.14,0.38
3.15,0.38
3.16,0.53
